Date,CCL,pred_CCL
2012-07-15,104.25,108.91839661394538
2012-07-08,105.01,108.30114462155956
2012-07-01,105.46,106.23441554390176
2012-06-24,104.6,105.98730998780132
2012-06-17,104.14,105.4837349558566
2012-06-10,103.82,105.19396052336926
2012-06-03,104.01,105.10523090135406
2012-05-27,104.0,104.75645038446348
2012-05-20,103.94,104.67133778934429
2012-05-13,103.35,104.02299579055428
2012-05-06,102.89,103.9441808548783
2012-04-29,101.12,103.62765704153543
2012-04-22,102.17,103.40767617469587
2012-04-15,102.5,103.55522211771512
2012-04-08,101.79,103.48667588295397
2012-04-01,101.17,102.99512319716108
2012-03-25,100.06,102.17763985347881
2012-03-18,99.17,101.34495797575707
2012-03-11,98.41,100.14831330686357
2012-03-04,96.69,99.36867176847409
2012-02-26,95.15,98.89729025667494
2012-02-19,94.38,98.36064519424986
2012-02-12,95.01,97.83665151015136
2012-02-05,95.04,97.77696315664431
2012-01-29,94.47,97.49715301416755
2012-01-22,94.75,97.22593557160538
2012-01-15,94.31,97.50279043481973
2012-01-08,94.16,97.50506817676096
2012-01-01,95.47,98.85106203957992
2011-12-25,96.68,98.01890813220349
2011-12-18,96.81,98.78900562721469
2011-12-11,97.1,98.64334680244401
2011-12-04,98.13,98.20380639812171
2011-11-27,97.24,95.88213030085673
2011-11-20,97.09,96.1511754852868
2011-11-13,97.29,96.1199753899647
2011-11-06,96.91,96.15463277167213
2011-10-30,97.94,96.66307968697049
2011-10-23,98.16,96.60084121529576
2011-10-16,98.52,96.21862477211147
2011-10-09,99.07,96.37584944389728
2011-10-02,99.8,96.4279382818414
2011-09-25,99.21,96.29417790666648
2011-09-18,98.18,96.35664960230052
2011-09-11,98.24,96.62240865712076
2011-09-04,98.6,96.52539184568633
2011-08-28,99.41,96.59542315151428
2011-08-21,99.15,96.72689115583375
2011-08-14,99.31,96.66398492499964
2011-08-07,99.53,97.11034444212989
2011-07-31,99.11,97.12994838009674
2011-07-24,99.0,97.36810450591852
2011-07-17,99.08,97.80816189977696
2011-07-10,98.89,97.97764883331416
2011-07-03,100.29,97.73964531226275
2011-06-26,99.23,97.51877495192103
2011-06-19,98.73,97.72458692628351
2011-06-12,99.7,97.72963088734751
2011-06-05,100.72,97.94420618618635
2011-05-29,99.43,97.79637374968308
2011-05-22,98.16,97.97571875875843
2011-05-15,97.44,97.40884768155433
2011-05-08,97.45,97.2014209543542
2011-05-01,97.59,97.25802280349227
2011-04-24,97.6,97.4392390353572
2011-04-17,97.13,96.68689770676654
2011-04-10,96.55,97.07652183289251
2011-04-03,96.98,97.40766951554731
2011-03-27,97.41,97.16547063034622
2011-03-20,98.15,96.09136794376094
2011-03-13,96.51,95.77428349843895
2011-03-06,96.44,95.40458830930545
2011-02-27,94.81,95.18106483888188
2011-02-20,93.99,94.77546799957527
2011-02-13,93.41,94.01994245508509
2011-02-06,91.45,93.52531416486424
2011-01-30,90.83,93.11900435966882
2011-01-23,91.21,92.51194638167777
2011-01-16,90.01,91.92935421314168
2011-01-09,90.05,90.9803524539336
2011-01-02,88.38,90.16158166849935
2010-12-26,88.4,90.83107586626264
2010-12-19,87.48,90.08900904303209
2010-12-12,88.27,89.70291815769384
2010-12-05,89.41,89.31299815788809
2010-11-28,88.58,88.8492104272314
2010-11-21,88.24,88.77437877761447
2010-11-14,87.41,89.06339194003408
2010-11-07,87.55,89.9849880117742
2010-10-31,86.87,88.13191318744461
2010-10-24,85.62,87.24195367761028
2010-10-17,85.13,86.79889301327309
2010-10-10,85.09,86.59851198354184
2010-10-03,84.85,86.4146678266987
2010-09-26,85.34,85.81182841427346
2010-09-19,83.99,85.4292079829584
2010-09-12,84.16,85.20651667419789
2010-09-05,84.54,84.9311502740948
2010-08-29,83.61,84.65793155579853
2010-08-22,83.57,84.28544892115997
2010-08-15,83.36,84.05370423297563
2010-08-08,83.51,83.76710618801204
2010-08-01,82.14,83.37184486355521
2010-07-25,81.88,82.94384554684032
2010-07-18,81.18,82.61601665287978
2010-07-11,80.9,82.08245566175968
2010-07-04,80.15,81.35578284292363
2010-06-27,80.12,80.91176379547296
2010-06-20,79.12,81.14554280025072
2010-06-13,79.68,80.76946072260054
2010-06-06,79.48,80.36990150298276
2010-05-30,79.16,80.27216078999457
2010-05-23,80.32,80.09058839013613
2010-05-16,80.06,80.38500710753281
2010-05-09,79.86,81.00023414765975
2010-05-02,80.68,82.22946526385542
2010-04-25,78.77,79.56914857344536
2010-04-18,79.39,79.65218334582435
2010-04-11,78.48,79.55882376223796
2010-04-04,78.64,79.21897632499908
2010-03-28,78.69,79.6275671822332
2010-03-21,78.63,77.8887563185378
2010-03-14,77.24,77.1961739819621
2010-03-07,77.01,77.69580255555049
2010-02-28,77.96,77.4809344464162
2010-02-21,77.26,77.30307842045661
2010-02-14,77.03,76.98209713585531
2010-02-07,76.67,76.78297255297832
2010-01-31,76.05,76.67045380409226
2010-01-24,76.17,76.49457429017437
2010-01-17,75.08,76.46529670250172
2010-01-10,74.87,76.2453596660025
2010-01-03,74.07,76.00477834309935
2009-12-27,73.23,75.16671067334435
2009-12-20,73.08,74.42196837508459
2009-12-13,72.79,73.93973150695359
2009-12-06,73.03,73.97088700583116
2009-11-29,72.61,73.62096815541041
2009-11-22,73.56,73.56023499456614
2009-11-15,73.91,73.32533105684175
