"Date","Price","Open","High","Low","Change %"
"Dec 21, 2016","2.042","2.080","2.080","2.042","-3.04%"
"Dec 20, 2016","2.106","1.946","2.106","1.946","9.46%"
"Dec 19, 2016","1.924","1.924","1.924","1.924","3.00%"
"Dec 18, 2016","1.868","1.868","1.868","1.868","0.00%"
"Dec 16, 2016","1.868","1.868","1.868","1.868","6.62%"
"Dec 15, 2016","1.752","1.752","1.752","1.752","1.68%"
"Dec 14, 2016","1.723","1.723","1.723","1.723","10.52%"
"Dec 12, 2016","1.559","1.559","1.559","1.559","7.37%"
"Dec 11, 2016","1.452","1.452","1.452","1.452","0.00%"
"Dec 09, 2016","1.452","1.447","1.452","1.447","0.35%"
"Dec 08, 2016","1.447","1.447","1.447","1.447","-0.14%"
"Dec 07, 2016","1.449","1.449","1.548","1.449","1.47%"
"Dec 06, 2016","1.428","1.548","1.548","1.428","-7.75%"
"Dec 05, 2016","1.548","1.548","1.548","1.548","2.11%"
"Dec 04, 2016","1.516","1.516","1.516","1.516","0.00%"
"Dec 02, 2016","1.516","1.516","1.516","1.516","2.16%"
"Dec 01, 2016","1.484","1.484","1.484","1.484","6.15%"
"Nov 30, 2016","1.398","1.360","1.398","1.360","1.97%"
"Nov 29, 2016","1.371","1.366","1.371","1.360","-0.36%"
"Nov 28, 2016","1.376","1.431","1.431","1.376","-5.95%"
"Nov 27, 2016","1.463","1.463","1.463","1.463","0.00%"
"Nov 25, 2016","1.463","1.468","1.468","1.463","2.24%"
"Nov 24, 2016","1.431","1.415","1.431","1.415","4.00%"
"Nov 23, 2016","1.376","1.361","1.376","1.361","-0.15%"
"Nov 22, 2016","1.378","1.335","1.378","1.335","0.73%"
"Nov 21, 2016","1.368","1.388","1.388","1.367","-0.73%"
"Nov 20, 2016","1.378","1.378","1.378","1.378","0.00%"
"Nov 18, 2016","1.378","1.415","1.415","1.378","5.27%"
"Nov 17, 2016","1.309","1.331","1.331","1.309","-6.03%"
"Nov 16, 2016","1.393","1.389","1.491","1.389","1.02%"
"Nov 15, 2016","1.379","1.416","1.454","1.379","-8.19%"
"Nov 14, 2016","1.502","1.470","1.502","1.470","8.53%"
"Nov 13, 2016","1.384","1.384","1.384","1.384","0.00%"
"Nov 11, 2016","1.384","1.352","1.384","1.352","12.89%"
"Nov 10, 2016","1.226","1.205","1.226","1.205","14.47%"
"Nov 09, 2016","1.071","1.040","1.071","1.040","-1.92%"
"Nov 08, 2016","1.092","1.076","1.092","1.076","1.49%"
"Nov 07, 2016","1.076","1.040","1.076","1.040","3.46%"
"Nov 06, 2016","1.040","1.077","1.077","1.040","-3.44%"
"Nov 04, 2016","1.077","1.077","1.077","1.077","0.00%"
"Nov 03, 2016","1.077","1.077","1.077","1.077","3.36%"
"Nov 02, 2016","1.042","1.042","1.042","1.042","-3.34%"
"Nov 01, 2016","1.078","1.078","1.078","1.078","-0.92%"
"Oct 31, 2016","1.088","1.104","1.104","1.083","-2.33%"
"Oct 30, 2016","1.114","1.114","1.114","1.114","0.00%"
"Oct 28, 2016","1.114","1.104","1.114","1.104","6.81%"
"Oct 27, 2016","1.043","0.992","1.043","0.992","0.00%"
"Oct 26, 2016","1.043","1.043","1.043","1.043","-0.10%"
"Oct 25, 2016","1.044","1.044","1.044","1.044","0.00%"
"Oct 24, 2016","1.044","1.044","1.044","1.044","-1.97%"
"Oct 21, 2016","1.065","1.065","1.065","1.065","1.91%"
"Oct 20, 2016","1.045","1.045","1.045","1.045","0.00%"
"Oct 19, 2016","1.045","1.045","1.045","1.045","-0.10%"
"Oct 18, 2016","1.046","1.081","1.081","1.046","-3.33%"
"Oct 17, 2016","1.082","1.087","1.087","1.077","2.95%"
"Oct 16, 2016","1.051","1.051","1.051","1.051","0.00%"
"Oct 15, 2016","1.051","1.051","1.051","1.051","0.00%"
"Oct 14, 2016","1.051","1.046","1.051","1.046","0.86%"
"Oct 13, 2016","1.042","1.062","1.062","1.042","-5.53%"
"Oct 12, 2016","1.103","1.098","1.103","1.098","0.91%"
"Oct 11, 2016","1.093","1.068","1.093","1.068","4.79%"
"Oct 10, 2016","1.043","1.043","1.043","1.043","0.00%"
"Oct 07, 2016","1.043","1.068","1.068","1.043","-0.57%"
"Oct 06, 2016","1.049","1.064","1.064","1.043","0.00%"
"Oct 05, 2016","1.049","1.059","1.059","1.049","4.07%"
"Oct 04, 2016","1.008","1.034","1.034","1.008","-0.10%"
"Oct 03, 2016","1.009","1.009","1.009","1.009","4.99%"
"Oct 02, 2016","0.961","0.961","0.961","0.961","0.00%"
"Sep 30, 2016","0.961","0.969","0.974","0.961","-2.83%"
"Sep 29, 2016","0.989","0.989","0.989","0.989","0.92%"
"Sep 28, 2016","0.980","0.980","0.980","0.980","-2.00%"
"Sep 27, 2016","1.000","0.950","1.000","0.879","3.09%"
"Sep 26, 2016","0.970","0.995","0.995","0.970","-2.61%"
"Sep 25, 2016","0.996","0.996","0.996","0.996","0.00%"
"Sep 24, 2016","0.996","0.996","0.996","0.996","0.00%"
"Sep 23, 2016","0.996","0.996","0.996","0.996","-2.92%"
"Sep 22, 2016","1.026","1.052","1.052","1.026","-5.70%"
"Sep 21, 2016","1.088","1.093","1.093","1.088","-0.46%"
"Sep 20, 2016","1.093","1.109","1.109","1.093","0.37%"
"Sep 19, 2016","1.089","1.089","1.089","1.089","1.40%"
"Sep 18, 2016","1.074","1.074","1.074","1.074","0.00%"
"Sep 17, 2016","1.074","1.074","1.074","1.074","0.00%"
"Sep 15, 2016","1.074","1.074","1.074","1.074","-4.11%"
"Sep 14, 2016","1.120","1.095","1.120","1.095","9.37%"
"Sep 13, 2016","1.024","1.014","1.024","1.009","-2.48%"
"Sep 12, 2016","1.050","1.004","1.050","1.004","11.23%"
"Sep 11, 2016","0.944","0.944","0.944","0.944","0.00%"
"Sep 09, 2016","0.944","0.964","0.964","0.929","6.07%"
"Sep 08, 2016","0.890","0.895","0.910","0.890","-0.56%"
"Sep 07, 2016","0.895","0.965","0.965","0.895","-7.35%"
"Sep 06, 2016","0.966","0.971","0.971","0.966","-0.51%"
"Sep 05, 2016","0.971","0.966","0.976","0.966","-1.52%"
"Sep 04, 2016","0.986","0.986","0.986","0.986","0.00%"
"Sep 02, 2016","0.986","0.971","0.986","0.971","-0.10%"
"Sep 01, 2016","0.987","0.967","0.987","0.967","2.07%"
"Aug 31, 2016","0.967","0.962","0.967","0.962","1.47%"
"Aug 30, 2016","0.953","0.918","0.953","0.918","-1.55%"
"Aug 29, 2016","0.968","1.013","1.013","0.968","1.04%"
"Aug 28, 2016","0.958","0.958","0.958","0.958","0.00%"
"Aug 26, 2016","0.958","0.963","0.978","0.958","1.48%"
"Aug 25, 2016","0.944","0.934","0.944","0.924","0.96%"
"Aug 24, 2016","0.935","0.945","0.945","0.935","-1.06%"
"Aug 23, 2016","0.945","0.945","0.960","0.945","-5.03%"
"Aug 22, 2016","0.995","1.010","1.010","0.995","5.18%"
"Aug 21, 2016","0.946","0.946","0.946","0.946","0.00%"
"Aug 20, 2016","0.946","0.946","0.946","0.946","0.00%"
"Aug 19, 2016","0.946","0.921","0.946","0.912","2.60%"
"Aug 18, 2016","0.922","0.904","0.922","0.904","0.00%"
"Aug 17, 2016","0.922","0.924","0.924","0.897","2.79%"
"Aug 16, 2016","0.897","0.909","0.909","0.882","-3.03%"
"Aug 15, 2016","0.925","0.925","0.925","0.925","-0.86%"
"Aug 14, 2016","0.933","0.933","0.933","0.933","0.00%"
"Aug 13, 2016","0.933","0.933","0.933","0.933","0.00%"
"Aug 12, 2016","0.933","0.952","0.952","0.933","1.19%"
"Aug 11, 2016","0.922","0.922","0.922","0.922","-4.55%"
"Aug 10, 2016","0.966","0.966","0.966","0.966","-0.10%"
"Aug 09, 2016","0.967","0.989","0.991","0.964","-0.72%"
"Aug 08, 2016","0.974","0.984","0.984","0.974","5.30%"
"Aug 07, 2016","0.925","0.925","0.925","0.925","0.00%"
"Aug 06, 2016","0.925","0.925","0.925","0.925","0.00%"
"Aug 05, 2016","0.925","0.930","0.944","0.915","-4.15%"
"Aug 04, 2016","0.965","0.970","0.985","0.965","0.00%"
"Aug 03, 2016","0.965","0.975","0.975","0.965","6.39%"
"Aug 01, 2016","0.907","0.907","0.907","0.907","-3.20%"
"Jul 31, 2016","0.937","0.937","0.937","0.937","0.00%"
