Date,nt_sq_price_value,kl_sq_price_value,hk_sq_price_value
2009-10-25 00:00:00,3251.6435917721515,5722.699925788497,6469.318877551025
2009-11-01 00:00:00,3335.007157303375,5087.2119906323205,6123.6805487804895
2009-11-08 00:00:00,3342.0716368286435,5509.97532467532,6406.650866510533
2009-11-15 00:00:00,3386.1680017921153,6125.012292609349,8153.6888261851045
2009-11-22 00:00:00,3348.4021422142187,5292.378702290075,6311.561098901102
2009-11-29 00:00:00,3439.9665004793865,5254.911639344263,6107.967563025209
2009-12-06 00:00:00,3270.3833689839553,5128.372717948715,6118.035416666665
2009-12-13 00:00:00,3379.8079190101275,4695.424605911329,6145.596546546541
2009-12-20 00:00:00,3601.6879204339953,4803.734120603021,6155.164099526068
2009-12-27 00:00:00,3869.505561097257,4927.039969512195,8225.561794117646
2010-01-03 00:00:00,3807.1793476318194,4850.367951070337,6607.964842105264
2010-01-10 00:00:00,3756.0492220744695,5139.78982387475,6485.21202797203
2010-01-17 00:00:00,3625.7141005098347,5055.286866197185,6110.26619047619
2010-01-24 00:00:00,3568.8301381818173,5069.580926573431,6153.052631578942
2010-01-31 00:00:00,3517.126968838521,5334.147737556557,6095.752069672134
2010-02-07 00:00:00,3493.8541176470526,6532.33918848168,6473.661660649821
2010-02-14 00:00:00,3553.181877984089,5588.109415041782,6492.70673400674
2010-02-21 00:00:00,3542.4772028688535,5333.686520547945,6387.834634146342
2010-02-28 00:00:00,3551.9917246673467,5424.194392097262,7134.1976293103435
2010-03-07 00:00:00,3204.3990294511455,5413.313466424681,9110.465069444432
2010-03-14 00:00:00,3436.688469301936,5459.764217171713,6647.356099706751
2010-03-21 00:00:00,4224.406958355303,6233.113934426229,6721.490466472299
2010-03-28 00:00:00,3921.423061611373,6681.204826883913,7136.82401734104
2010-04-04 00:00:00,4011.9101161562844,5775.663629343626,6821.505505952378
2010-04-11 00:00:00,3958.798488512704,5840.736827794557,9431.788409703506
2010-04-18 00:00:00,3792.688914565829,5831.6911038961,7247.669782244552
2010-04-25 00:00:00,5123.468561403504,5447.961540983607,7155.50855575868
2010-05-02 00:00:00,4338.171973350255,5848.743096774191,6986.009860000001
2010-05-09 00:00:00,3963.0147880116983,5504.10713298791,6839.134646924831
2010-05-16 00:00:00,3712.867785515321,5759.109637931037,6582.167300613495
2010-05-23 00:00:00,3717.0011802974,5501.11215880893,6640.438044077133
2010-05-30 00:00:00,3679.7295956873327,5701.184619883037,7320.568641304346
2010-06-06 00:00:00,3735.754381443298,5380.954705882359,6856.746711229946
2010-06-13 00:00:00,3778.8259516616313,5607.557232876713,6649.546973684211
2010-06-20 00:00:00,3489.955291164657,5405.793038869254,6264.688908296939
2010-06-27 00:00:00,3517.3455898226703,5439.0745316455705,6706.12438202247
2010-07-04 00:00:00,3723.8471458551867,5755.143007915568,6542.235000000002
2010-07-11 00:00:00,3809.7537037036986,5767.670563380279,6745.163308457708
2010-07-18 00:00:00,3802.7093151642152,7179.34135287486,6721.758042635656
2010-07-25 00:00:00,3844.0740373470685,6988.456431095401,6516.381999999995
2010-08-01 00:00:00,3883.524940138628,6393.189515923572,6926.702783882788
2010-08-08 00:00:00,3860.045647840534,6624.605871921193,7165.245344506519
2010-08-15 00:00:00,3857.6743245033153,6154.312057971009,8823.642425876016
2010-08-22 00:00:00,3909.607886456913,5922.586916426518,9478.516649937264
2010-08-29 00:00:00,3903.7015192307763,6125.139920382161,8720.360398293025
2010-09-05 00:00:00,3885.00595652174,6146.127013888889,8070.097469026543
2010-09-12 00:00:00,3867.577368029735,5878.739253438113,8191.864991423664
2010-09-19 00:00:00,3902.0482084690548,5949.382256097557,6940.461055155874
2010-09-26 00:00:00,4027.639897828862,6138.868493975901,6943.520150943396
2010-10-03 00:00:00,3976.9502886836017,6220.947259887003,7110.321003236244
2010-10-10 00:00:00,3894.791473899688,6474.830885416669,7090.956331360946
2010-10-17 00:00:00,3934.3284047109178,6179.179451371567,7503.093195592287
2010-10-24 00:00:00,4193.6545732184795,5563.390867469881,8242.494549266252
2010-10-31 00:00:00,4968.909316860472,6278.094051094889,8227.229252525256
2010-11-07 00:00:00,4303.973822501741,6346.597900874637,7654.429264069255
2010-11-14 00:00:00,3992.6063070283594,5822.005186246423,7223.5865448504965
2010-11-21 00:00:00,3851.8311292200233,5892.0708983799705,7352.193274956215
2010-11-28 00:00:00,3941.3716451612886,5544.01238546604,7542.9883233533
2010-12-05 00:00:00,3991.9959520884563,5795.687900000003,7486.723886792455
2010-12-12 00:00:00,4065.78266129032,5872.775961199289,8062.294219114216
2010-12-19 00:00:00,4258.270947054436,5786.505227272726,7977.663044619425
2010-12-26 00:00:00,3636.3827032520326,5757.369938271604,7493.556129032255
2011-01-02 00:00:00,3827.1304152249118,5880.605283018865,7571.478054054054
2011-01-09 00:00:00,4060.4878027465643,6564.045913621258,7491.103522267201
2011-01-16 00:00:00,4153.634091760297,6058.081646191647,8098.494005681813
2011-01-23 00:00:00,4234.9338382899605,6229.0476237623725,7946.631187845303
2011-01-30 00:00:00,4243.974334442593,6463.93444444444,7692.256965517242
2011-02-06 00:00:00,4259.183404507711,6233.60064343164,7698.6616923076945
2011-02-13 00:00:00,4418.6566851705065,6341.9134932821435,7787.862525458249
2011-02-20 00:00:00,4464.389627249357,6551.0926844583955,7977.616323268205
2011-02-27 00:00:00,4424.198911745195,7076.310162241892,8232.602427536227
2011-03-06 00:00:00,4486.4985948905105,6974.016040268453,8596.98889175257
2011-03-13 00:00:00,4588.539516587679,6733.05406542056,8895.884555873923
2011-03-20 00:00:00,5091.002979966604,6869.746864197536,8381.560791788856
2011-03-27 00:00:00,5224.620269230778,7000.457633744859,9478.929828326183
2011-04-03 00:00:00,5015.518091728091,6836.958197802196,8377.163076923074
2011-04-10 00:00:00,4750.172923076921,6956.190084985841,8840.884738461536
2011-04-17 00:00:00,5066.534281716416,6740.877415143604,8419.89365558912
2011-04-24 00:00:00,4904.962287234041,7031.405653710247,8634.105034482764
2011-05-01 00:00:00,4826.713256150509,6538.904413793102,11618.397340720225
2011-05-08 00:00:00,4883.801741233368,7130.093896103897,9024.186949152541
2011-05-15 00:00:00,5120.0195382165675,6674.164166666663,9334.793890577508
2011-05-22 00:00:00,4950.56987735078,7475.403370786518,8968.871119221414
2011-05-29 00:00:00,4984.179545078575,7611.518646748675,9066.231827160493
2011-06-05 00:00:00,4883.534342745863,7913.1600186915875,9699.133041474654
2011-06-12 00:00:00,4961.055929526119,7686.364542936283,9593.059237804875
2011-06-19 00:00:00,4888.5597710718,7409.667382075471,9805.655603864732
2011-06-26 00:00:00,4998.874272445817,7458.396430205957,10143.301918918914
2011-07-03 00:00:00,5142.692955414016,7156.997838827838,9690.96569811321
2011-07-10 00:00:00,5124.161990464841,7041.523926380365,9389.548844765339
2011-07-17 00:00:00,4898.374690431518,7349.244948096884,8961.304455445541
2011-07-24 00:00:00,4790.835123674913,10300.133762057882,8016.198571428574
2011-07-31 00:00:00,4797.949676025914,9836.491220338981,7529.3837671232895
2011-08-07 00:00:00,4584.719955357139,9430.118634361232,8029.46491017964
2011-08-14 00:00:00,4666.999188679248,10450.103225806457,8808.241265060242
2011-08-21 00:00:00,4639.6087289719635,9191.051570247935,8637.75857142857
2011-08-28 00:00:00,4641.448180147062,8625.08966165413,11162.867252396156
2011-09-04 00:00:00,4749.6305751391465,7713.266976744183,9652.127955555552
2011-09-11 00:00:00,4629.407315789472,7246.496637554587,8639.925705882355
2011-09-18 00:00:00,4601.82085539715,6785.6562146892675,8242.961719745224
2011-09-25 00:00:00,4676.533921259844,6904.320373443982,8433.816192893397
2011-10-02 00:00:00,4704.243593466421,6611.247276995308,8092.5236477987455
2011-10-09 00:00:00,4711.368301075268,7234.973298969074,8728.072173913051
2011-10-16 00:00:00,4979.193079800503,7439.381173708918,8199.878202764972
2011-10-23 00:00:00,5055.314203980099,6571.85678787879,7521.24834482759
2011-10-30 00:00:00,4813.304597249507,6692.759473684213,8723.825161290324
2011-11-06 00:00:00,4816.132224576269,6697.6335582822085,11792.881757575758
2011-11-13 00:00:00,4804.525150905437,7463.910150753771,13024.901743119271
2011-11-20 00:00:00,4648.848018518514,7858.791231527093,11173.012871794868
2011-11-27 00:00:00,5864.300786350149,9155.496508620692,12155.53716494846
2011-12-04 00:00:00,6080.487272727277,7306.772569832404,11111.955777777786
2011-12-11 00:00:00,6182.697652173909,6737.19481081081,9846.306918604654
2011-12-18 00:00:00,5746.995438356169,6741.543756906077,10208.689999999995
2011-12-25 00:00:00,6149.096257901399,6135.600888888894,9845.610367647063
2012-01-01 00:00:00,5377.939674796748,7004.965064935064,7369.816000000001
2012-01-08 00:00:00,5257.382499999999,6527.343623188403,8447.741932773108
2012-01-15 00:00:00,4911.853412526995,7006.522110552768,8578.495973154362
2012-01-22 00:00:00,4845.54099773243,10105.588397932817,9030.493165467622
2012-01-29 00:00:00,4783.764594594594,11989.511912568307,8700.641
2012-02-05 00:00:00,4568.248979057595,10330.272382022475,7933.576
2012-02-12 00:00:00,4603.168903743316,8227.533037383177,7583.682389380529
2012-02-19 00:00:00,4617.607101449271,8102.061304347823,8537.6
2012-02-26 00:00:00,4536.937757847534,7527.684122807015,8739.782095238099
2012-03-04 00:00:00,4624.577755359392,7016.515964285717,8242.435808080809
2012-03-11 00:00:00,4977.694377323416,7146.887521186443,8501.011104972364
2012-03-18 00:00:00,5193.118729857823,7379.554769230774,9002.883452115806
2012-03-25 00:00:00,5414.603841544611,7124.872859744991,8682.049395973163
2012-04-01 00:00:00,5484.366346153843,6875.056344696965,8952.35912359551
2012-04-08 00:00:00,5364.006543352607,6853.683248175184,8839.803297491044
2012-04-15 00:00:00,5143.029320920045,7302.413778409091,8851.656071428562
2012-04-22 00:00:00,5138.938960000002,7516.435396419437,8839.36610644257
2012-04-29 00:00:00,5156.993514056228,7610.455810810807,10678.74192934782
2012-05-06 00:00:00,4979.518154761906,7074.294297872342,10354.060923913052
2012-05-13 00:00:00,5171.924725877185,7751.581905829596,10912.826657223792
2012-05-20 00:00:00,5070.77917117117,8746.731725571728,9892.516304347824
2012-05-27 00:00:00,5124.607822349568,8539.439002320183,8934.679525691696
2012-06-03 00:00:00,5028.779508196723,7703.74766666667,9204.273926174501
2012-06-10 00:00:00,5025.6847394957995,7484.944867924532,9423.779045226134
2012-06-17 00:00:00,5110.538930163449,7772.954702194355,9093.43113043479
2012-06-24 00:00:00,5055.305887999992,7737.398213058421,9192.515492227982
2012-07-01 00:00:00,5974.537513966479,8111.098549450551,9434.082995169078
2012-07-08 00:00:00,6144.260312499996,7510.804231884058,10130.425174825175
2012-07-15 00:00:00,5347.838009554143,7596.280136986304,8994.289135135134
2012-07-22 00:00:00,5237.824177997524,7683.925617529883,9368.763673469392
2012-07-29 00:00:00,5331.465751366124,7432.466644295304,8854.603358208953
2012-08-05 00:00:00,5383.068180227471,7104.656309012875,9956.235309278347
2012-08-12 00:00:00,5464.375636363648,7126.875206611566,11265.981676829275
2012-08-19 00:00:00,5376.934352256187,7837.733203463202,9668.905310734466
2012-08-26 00:00:00,5337.908886679918,7419.069072847678,9075.579637096773
2012-09-02 00:00:00,5420.100066518848,7623.456480446934,9154.562518796989
2012-09-09 00:00:00,5461.634351585009,7574.060564516135,9506.330328638493
2012-09-16 00:00:00,5598.33595188286,7950.322017045453,9781.063931034481
2012-09-23 00:00:00,5595.991238761242,7932.032691218129,9038.922557377053
2012-09-30 00:00:00,5741.284985795453,7927.39289473684,10841.589493243242
2012-10-07 00:00:00,6100.643737574547,7901.67926966292,10509.091949685535
2012-10-14 00:00:00,6687.154767166544,8056.648742514968,10981.027040816327
2012-10-21 00:00:00,6550.323501033767,8522.326537585424,11191.494642857142
2012-10-28 00:00:00,6609.338857453751,8420.64452054795,10111.05763033175
2012-11-04 00:00:00,6297.318993476238,8931.695984455959,9758.972386831265
2012-11-11 00:00:00,5914.086112565441,8163.447601351352,10414.986092715226
2012-11-18 00:00:00,5982.549516129027,8393.028928571432,10177.827356321844
2012-11-25 00:00:00,6251.3274063400595,8680.663333333328,10298.4873089701
2012-12-02 00:00:00,5719.234795321639,8232.958223350257,9788.460710382516
2012-12-09 00:00:00,5680.946026785717,7830.164968944098,9534.355039370079
2012-12-16 00:00:00,5729.575381062354,7826.211612903225,9394.482335766423
2012-12-23 00:00:00,5541.67035955056,8048.897386363636,9247.318693181818
2012-12-30 00:00:00,5569.000853242325,8504.235652173915,9889.944999999996
2013-01-06 00:00:00,5703.976202247193,8231.412575757571,9778.104926470587
2013-01-13 00:00:00,5814.458188277087,8124.154389312979,9496.28494117647
2013-01-20 00:00:00,5812.860633802819,7598.178333333331,9337.071055555552
2013-01-27 00:00:00,6076.208784916199,8418.78715328466,9292.87089385475
2013-02-03 00:00:00,6487.01479500892,8803.399508928569,9784.696631016044
2013-02-10 00:00:00,6980.398790534622,8697.63405487805,10613.64808219178
2013-02-17 00:00:00,7071.386760925458,8214.793564356438,10581.817857142854
2013-02-24 00:00:00,7007.7681221513185,8603.8471257485,10881.701851851854
2013-03-03 00:00:00,6667.991235230932,9102.984813753585,10770.677874015742
2013-03-10 00:00:00,6583.076727272726,9035.215555555556,11084.845426008964
2013-03-17 00:00:00,6858.150032258067,9132.40714285715,10992.1784375
2013-03-24 00:00:00,6234.2091645569635,8435.359562841526,10313.560551724138
2013-03-31 00:00:00,6357.102016806726,8599.630400000002,10021.079638554216
2013-04-07 00:00:00,6420.244735449737,9110.545132743362,10079.975882352937
2013-04-14 00:00:00,6332.125857418115,8650.421666666667,9540.927941176473
2013-04-21 00:00:00,6320.842992700725,8691.261190476192,9283.280619469026
2013-04-28 00:00:00,6108.217458563537,9044.145324675323,11057.478380952383
2013-05-05 00:00:00,6123.989788732393,8152.539682539682,11817.893928571431
2013-05-12 00:00:00,6006.216870748299,8570.955555555554,10015.687222222223
2013-05-19 00:00:00,6357.244794520547,9086.736620689653,11610.118842975218
2013-05-26 00:00:00,6219.777215568863,9044.81603053435,10240.141720430107
2013-06-02 00:00:00,6023.53632258064,8087.971411764704,9713.521346153846
2013-06-09 00:00:00,6140.365331753561,8534.935789473684,9588.12150442478
2013-06-16 00:00:00,6035.516056338029,7368.993728813561,9264.08898148148
2013-06-23 00:00:00,6148.874565619219,7854.56819004525,9922.494444444446
2013-06-30 00:00:00,6138.96622792938,8143.963553299495,10275.73272189349
2013-07-07 00:00:00,6053.262748643761,7442.584233128833,9533.331052631578
2013-07-14 00:00:00,6024.152799295767,7737.957089201881,9527.123975903614
2013-07-21 00:00:00,5796.296840077071,7620.846199999996,9291.48925373134
2013-07-28 00:00:00,5705.883386454182,7668.0772020725435,9258.116535433071
2013-08-04 00:00:00,5644.433463541663,7489.1485234899355,9131.049876543213
2013-08-11 00:00:00,6055.346792452831,7368.445957446809,9447.594666666664
2013-08-18 00:00:00,6044.405261538463,7765.217750000001,9548.702688172045
